Year,Annual rain,Apr-Oct rain,Wheat Yld,Sheep DSE,Wheat GM,Sheep GM
1900,240.5,138.8,0.856644,3.528,143.7371,75.638556
1901,271.3,189.7,0.349934,6.582,8.81185,141.114789
1902,152.2,97.8,0.183491,1.068,-34.679975,22.897386
1903,429.4,268.8,1.608036,11.328,336.9499,242.866656
1904,312.3,161.7,0.848392,4.902,141.4678,105.096429
1905,251.3,161.9,1.270217,4.914,244.049675,105.353703
1906,404.9,272.7,2.989688,11.562,709.4142,247.883499
1907,411.9,329.5,1.788631,14.97,386.613525,320.949315
1908,372.4,271.8,3.401557,11.508,822.678175,246.725766
1909,353.2,294.5,2.65328,12.87,616.902,275.926365
1910,394.6,279.3,3.499417,11.958,849.589675,256.373541
1911,285.3,161.4,1.261485,4.884,241.648375,104.710518
1912,314.2,172.6,1.597723,5.556,334.113825,119.117862
1913,211.9,104,0.06289,1.44,-67.84525,30.87288
1914,191.1,55.5,0.052929,0,-70.584525,0
1915,287.2,242.8,2.146335,9.768,477.492125,209.421036
1916,460.1,408.2,3.497205,19.692,848.981375,422.186634
1917,611.4,408.8,3.683229,19.728,900.137975,422.958456
1918,245.5,196.3,1.544071,6.978,319.359525,149.604831
1919,292.7,107.8,0.03692,1.668,-74.987,35.761086
1920,676.7,419.3,4.063444,20.358,1004.6971,436.465341
1921,540.6,238.5,1.350911,9.51,266.240525,203.889645
1922,322.1,260,0.427569,10.8,30.161475,231.5466
1923,346.2,241.2,1.930905,9.672,418.248875,207.362844
1924,249.7,159.6,0.672922,4.776,93.21355,102.395052
1925,183.7,136.8,0.366858,3.408,13.46595,73.065816
1926,260.6,238.4,1.925152,9.504,416.6668,203.761008
1927,177.8,129.8,0.73462,2.988,110.1805,64.061226
1928,164.2,120.8,0.790003,2.448,125.410825,52.483896
1929,131,71.6,0.25342,0,-17.7295,0
1930,250.8,180.4,1.056129,6.024,198.595475,129.151548
1931,402.1,336.6,1.496091,15.396,306.165025,330.082542
1932,325.6,223.3,2.043008,8.598,449.0772,184.336821
1933,238,142.4,1.310378,3.744,255.09395,80.269488
1934,263,115.9,0.280294,2.154,-10.33915,46.180683
1935,139.7,107.1,0.13038,1.626,-49.2855,34.860627
1936,225.9,151,1.140482,4.26,221.79255,91.33227
1937,379.9,139.3,0.965832,3.558,173.7638,76.281741
1938,217,156.4,0.282378,4.584,-9.76605,98.278668
1939,381.9,226.8,1.655376,8.808,349.9684,188.839116
1940,84.9,69.1,0.045619,0,-72.594775,0
1941,243.2,112.7,0.658703,1.962,89.303325,42.064299
1942,298,271.1,2.66018,11.466,618.7995,245.825307
1943,208.5,139.4,0.949507,3.564,169.274425,76.410378
1944,174.1,92.2,0.176822,0.732,-36.51395,15.693714
1945,291.2,228.9,1.824479,8.934,388.981725,191.540493
1946,367.9,74.8,0.136268,0,-47.6663,0
1947,403.4,267.4,1.461686,11.244,296.70365,241.065738
1948,165.6,92.8,0.084402,0.768,-61.92945,16.465536
1949,334.7,221.9,1.966524,8.514,428.0441,182.535903
1950,389.7,162.6,1.150017,4.956,224.414675,106.254162
1951,253.4,231.3,2.202353,9.078,492.897075,194.627781
1952,333.9,231.4,1.497853,9.084,306.649575,194.756418
1953,236.2,115.2,0.340618,2.112,6.24995,45.280224
1954,232.1,168.7,0.063114,5.322,-67.78365,114.101019
1955,461.6,257.2,2.837924,10.632,667.6791,227.944764
1956,402.4,313.2,2.733825,13.992,639.051875,299.981484
1957,209.3,111.6,0.984918,1.896,179.01245,40.649292
1958,513.2,289.3,3.728559,12.558,912.603725,269.237241
1959,135.7,77.2,0.427418,0,30.11995,0
1960,286.7,236.4,2.252444,9.384,506.6721,201.188268
1961,193.3,160.8,0.732026,4.848,109.46715,103.938696
1962,247.2,125.6,1.176452,2.736,231.6843,58.658472
1963,245.6,209.2,1.893805,7.752,408.046375,166.199004
1964,270.2,242,1.197005,9.72,237.336375,208.39194
1965,199.3,155.3,1.592049,4.518,332.553475,96.863661
1966,295.8,113.9,0.306893,2.034,-3.024425,43.607943
1967,135.5,97.7,0.329436,1.062,3.1749,22.768749
1968,501.8,329,1.812771,14.94,385.762025,320.30613
1969,296.5,196.8,1.520122,7.008,312.77355,150.248016
1970,274.9,180.7,0.348151,6.042,8.321525,129.537459
1971,363.7,198.8,2.480901,7.128,569.497775,152.820756
1972,244.9,109,0.602129,1.74,73.745475,37.30473
1973,621.7,397.5,2.90808,19.05,686.972,408.422475
1974,528.6,393.3,3.052313,18.798,726.636075,403.019721
1975,399.8,272.7,0.721628,11.562,106.6077,247.883499
1976,330.6,162.6,0.291085,4.956,-7.371625,106.254162
1977,229.9,115.1,0.396106,2.106,21.50915,45.151587
1978,350,264.1,2.914537,11.046,688.747675,236.820717
1979,478.8,332.6,3.795476,15.156,931.0059,324.937062
1980,346.6,299.9,1.306984,13.194,254.1606,282.872763
1981,426.8,270.2,2.244438,11.412,504.47045,244.667574
1982,114,51.4,0.122926,0,-51.33535,0
1983,335.4,250.4,1.656125,10.224,350.174375,219.197448
1984,254.4,216.6,1.713365,8.196,365.915375,175.718142
1985,274.9,229.2,2.794029,8.952,655.607975,191.926404
1986,372.3,312,3.53377,13.92,859.03675,298.43784
1987,319,169.9,1.039568,5.394,194.0412,115.644663
1988,288.4,167.7,1.107868,5.262,212.8237,112.814649
1989,495.6,213.3,1.510644,7.998,310.1671,171.473121
1990,287.4,240.2,1.843275,9.612,394.150625,206.076474
1991,229.6,176.3,1.953725,5.778,424.524375,123.877431
1992,632.1,364.6,0.186747,17.076,-33.784575,366.100902
1993,311.9,152.8,0.48451,4.368,45.82025,93.647736
1994,92.8,94.8,0.692234,0.888,98.52435,19.038276
1995,421.6,317,2.004301,14.22,438.432775,304.86969
1996,361.8,255.7,3.54756,10.542,862.829,226.015209
1997,322.3,155,0.200117,4.5,-32.387825,96.47775
1998,364.5,195.6,2.018872,6.936,442.4398,148.704372
1999,223.6,158.8,0.845266,4.728,140.60815,101.365956
2000,411.1,250.6,0.537703,10.236,60.448325,219.454722
2001,449.3,373.2,3.270761,17.592,786.709275,377.163684
2002,139.3,83.5,0.319914,0.21,0.55635,4.502295
2003,293.3,160.7,0.435111,4.842,32.235525,103.810059
2004,315.9,225.1,2.823434,8.706,663.69435,186.652287
2005,305.2,239.6,2.625826,9.576,609.35215,205.304652
2006,155.8,47.4,0.099184,0,-57.8644,0
2007,341.9,92.9,0.328339,0.774,2.873225,16.594173
