Day,z,Year
1,30,0
2,15.86768296,0.002739726
3,-8.765363584,0.005479452
4,-19.86606509,0.008219178
5,-23.53822417,0.010958904
6,-30.83954673,0.01369863
7,-37.63315733,0.016438356
8,-21.15583885,0.019178082
9,-22.09885403,0.021917808
10,-13.0474943,0.024657534
11,-29.01383538,0.02739726
12,-28.75700579,0.030136986
13,-10.59286165,0.032876712
14,-22.80150153,0.035616438
15,-39.61935901,0.038356164
16,-13.48288442,0.04109589
17,1.165306309,0.043835616
18,-1.956253977,0.046575342
19,6.543879619,0.049315068
20,5.552519011,0.052054795
21,4.009843847,0.054794521
22,-11.86293077,0.057534247
23,-28.15038095,0.060273973
24,-20.54682612,0.063013699
25,-42.94314042,0.065753425
26,-52.90392054,0.068493151
27,-64.16569814,0.071232877
28,-41.80346256,0.073972603
29,-14.51499251,0.076712329
30,-11.5919256,0.079452055
31,-7.333826044,0.082191781
32,19.38908056,0.084931507
33,-1.346721599,0.087671233
34,-15.42353347,0.090410959
35,-15.66853142,0.093150685
36,-1.402894063,0.095890411
37,17.24119009,0.098630137
38,-2.831102467,0.101369863
39,18.09948854,0.104109589
40,9.814770888,0.106849315
41,3.353976019,0.109589041
42,10.39918189,0.112328767
43,18.86092426,0.115068493
44,4.087497009,0.117808219
45,-0.304960242,0.120547945
46,-10.90396497,0.123287671
47,-30.44161871,0.126027397
48,0.888524184,0.128767123
49,-7.921433329,0.131506849
50,-9.982510602,0.134246575
51,-6.868924339,0.136986301
52,-7.530304195,0.139726027
53,-0.471440387,0.142465753
54,-23.68027701,0.145205479
55,-31.2991318,0.147945205
56,-51.28751257,0.150684932
57,-24.73567805,0.153424658
58,-9.265374283,0.156164384
59,-17.58527293,0.15890411
60,-31.33687502,0.161643836
61,-25.5347397,0.164383562
62,-26.63995281,0.167123288
63,-25.15956901,0.169863014
64,-22.01028042,0.17260274
65,-18.64607977,0.175342466
66,-4.670834207,0.178082192
67,1.485123163,0.180821918
68,-5.12704052,0.183561644
69,-18.5621199,0.18630137
70,-11.97436151,0.189041096
71,-8.506215574,0.191780822
72,0.180768643,0.194520548
73,-13.40720568,0.197260274
74,-16.50077035,0.2
75,-0.188882367,0.202739726
76,-10.27598299,0.205479452
77,-10.11921581,0.208219178
78,-20.9439221,0.210958904
79,-11.76304509,0.21369863
80,-5.882015771,0.216438356
81,-8.38751212,0.219178082
82,-10.99296763,0.221917808
83,-6.699245674,0.224657534
84,5.514745021,0.22739726
85,-5.266153824,0.230136986
86,-27.83099832,0.232876712
87,-18.67738081,0.235616438
88,-19.24900057,0.238356164
89,-29.97497383,0.24109589
90,-27.14240705,0.243835616
91,-25.20240694,0.246575342
92,-35.89848823,0.249315068
93,-41.05655096,0.252054795
94,-54.16897016,0.254794521
95,-34.49139674,0.257534247
96,-5.632848072,0.260273973
97,-19.80100942,0.263013699
98,-35.50900641,0.265753425
99,-15.67392961,0.268493151
100,-7.081216059,0.271232877
101,-2.885074463,0.273972603
102,-20.28686641,0.276712329
103,-11.70436142,0.279452055
104,-12.4923805,0.282191781
105,-21.04201571,0.284931507
106,-9.711857829,0.287671233
107,-5.600602905,0.290410959
108,-0.923536905,0.293150685
109,-18.58688769,0.295890411
110,-24.81174382,0.298630137
111,-1.002873137,0.301369863
112,-1.816383853,0.304109589
113,-27.62750974,0.306849315
114,-18.55953844,0.309589041
115,-20.60041509,0.312328767
116,-28.50759359,0.315068493
117,-17.14081032,0.317808219
118,-16.8039734,0.320547945
119,-15.06912285,0.323287671
120,-8.920461413,0.326027397
121,-13.15488329,0.328767123
122,6.302569436,0.331506849
123,-19.21016406,0.334246575
124,-13.57445435,0.336986301
125,-36.85453551,0.339726027
126,-40.81129479,0.342465753
127,-28.75531069,0.345205479
128,-26.25583511,0.347945205
129,-10.50400459,0.350684932
130,-26.30023789,0.353424658
131,-29.42449008,0.356164384
132,-29.25946816,0.35890411
133,-22.23601033,0.361643836
134,-32.8917175,0.364383562
135,-41.67502223,0.367123288
136,-41.66757978,0.369863014
137,-30.01843061,0.37260274
138,-21.96825927,0.375342466
139,-10.5538757,0.378082192
140,-36.29960521,0.380821918
141,-25.30432603,0.383561644
142,-16.58513551,0.38630137
143,-21.82809435,0.389041096
144,-11.14645304,0.391780822
145,-12.18751999,0.394520548
146,3.154148621,0.397260274
147,-2.789570147,0.4
148,-1.817508965,0.402739726
149,-15.48367732,0.405479452
150,14.344412,0.408219178
151,-37.62748205,0.410958904
152,-4.016726166,0.41369863
153,-22.74654146,0.416438356
154,-17.08300784,0.419178082
155,-30.57254778,0.421917808
156,-21.09385714,0.424657534
157,-23.15745674,0.42739726
158,-6.703854887,0.430136986
159,-6.188653327,0.432876712
160,5.147931351,0.435616438
161,2.67779697,0.438356164
162,-3.870527558,0.44109589
163,-29.25928684,0.443835616
164,-20.24026711,0.446575342
165,-33.78913346,0.449315068
166,-39.27257807,0.452054795
167,-60.10448412,0.454794521
168,-42.96105335,0.457534247
169,-24.14373807,0.460273973
170,-0.702020223,0.463013699
171,2.011030965,0.465753425
172,-12.92815897,0.468493151
173,1.468288845,0.471232877
174,-0.221091401,0.473972603
175,-20.27204904,0.476712329
176,-28.31655401,0.479452055
177,-38.81862935,0.482191781
178,-17.33610108,0.484931507
179,-19.90721799,0.487671233
180,-3.605086772,0.490410959
181,-13.95793689,0.493150685
182,-9.401924318,0.495890411
183,4.99893014,0.498630137
184,-27.4308549,0.501369863
185,-28.701006,0.504109589
186,-26.46358155,0.506849315
187,-14.0456709,0.509589041
188,-46.04358723,0.512328767
189,-34.9865995,0.515068493
190,-37.59198881,0.517808219
191,-18.88484218,0.520547945
192,-19.81147067,0.523287671
193,-30.03830197,0.526027397
194,-12.40312993,0.528767123
195,-19.24189611,0.531506849
196,-13.19686073,0.534246575
197,-21.06469646,0.536986301
198,-22.15086717,0.539726027
199,-27.30640822,0.542465753
200,-4.692430156,0.545205479
201,14.37939796,0.547945205
202,5.956124344,0.550684932
203,4.220289459,0.553424658
204,-5.772988749,0.556164384
205,-20.60551763,0.55890411
206,3.380057434,0.561643836
207,-9.021046862,0.564383562
208,0.667243278,0.567123288
209,-26.96407508,0.569863014
210,-37.57916662,0.57260274
211,-66.07641937,0.575342466
212,-49.99398506,0.578082192
213,-50.13256905,0.580821918
214,-42.73350916,0.583561644
215,-24.1917562,0.58630137
216,-20.99575656,0.589041096
217,-21.09811479,0.591780822
218,-12.36797207,0.594520548
219,11.28937246,0.597260274
220,-9.871411216,0.6
221,-35.63586913,0.602739726
222,-39.68269433,0.605479452
223,-39.9113784,0.608219178
224,-47.55378407,0.610958904
225,-32.47761573,0.61369863
226,-33.43553917,0.616438356
227,-5.096110785,0.619178082
228,-15.48253972,0.621917808
229,-3.880957266,0.624657534
230,-27.36281806,0.62739726
231,-38.14554722,0.630136986
232,-27.51802287,0.632876712
233,-36.30367722,0.635616438
234,-14.46729018,0.638356164
235,-8.369105425,0.64109589
236,-9.691824956,0.643835616
237,-17.39495383,0.646575342
238,-24.00269338,0.649315068
239,-42.62329317,0.652054795
240,-39.63717101,0.654794521
241,-32.45408107,0.657534247
242,-30.28710817,0.660273973
243,-21.79521828,0.663013699
244,-34.82823596,0.665753425
245,-30.97739318,0.668493151
246,-35.74574185,0.671232877
247,-14.68132447,0.673972603
248,-4.868657503,0.676712329
249,-15.4730729,0.679452055
250,-27.98310151,0.682191781
251,-21.67944246,0.684931507
252,-13.45375087,0.687671233
253,-30.4943032,0.690410959
254,-14.75739883,0.693150685
255,-4.360695974,0.695890411
256,15.56972921,0.698630137
257,0.839201373,0.701369863
258,0.383054536,0.704109589
259,-3.640506481,0.706849315
260,-6.485639944,0.709589041
261,-9.84001274,0.712328767
262,-5.754817963,0.715068493
263,3.244730243,0.717808219
264,3.811485484,0.720547945
265,-2.385269203,0.723287671
266,7.587442286,0.726027397
267,-5.662918945,0.728767123
268,3.704626734,0.731506849
269,-10.99628335,0.734246575
270,-24.12798714,0.736986301
271,-3.587271019,0.739726027
272,-8.812869333,0.742465753
273,-7.084905827,0.745205479
274,-5.779688587,0.747945205
275,-15.09897896,0.750684932
276,-31.61145887,0.753424658
277,-36.25478817,0.756164384
278,-21.72970788,0.75890411
279,-19.6215042,0.761643836
280,-17.84395209,0.764383562
281,-3.603373393,0.767123288
282,-23.94282727,0.769863014
283,-28.76019054,0.77260274
284,-4.397831383,0.775342466
285,-18.2369142,0.778082192
286,-50.27980199,0.780821918
287,-27.37127272,0.783561644
288,-20.94826192,0.78630137
289,-15.06384809,0.789041096
290,-19.80942794,0.791780822
291,14.93361494,0.794520548
292,3.22118166,0.797260274
293,-0.226543518,0.8
294,-8.66715046,0.802739726
295,-1.713236018,0.805479452
296,-5.262129786,0.808219178
297,-13.77919245,0.810958904
298,-7.748308818,0.81369863
299,-8.265011177,0.816438356
300,-11.23551394,0.819178082
301,16.70891735,0.821917808
302,-8.891720716,0.824657534
303,-10.92784856,0.82739726
304,-19.39116542,0.830136986
305,-1.258391326,0.832876712
306,6.838424588,0.835616438
307,14.47477003,0.838356164
308,5.808093585,0.84109589
309,17.94592971,0.843835616
310,-10.29877703,0.846575342
311,4.551851037,0.849315068
312,18.1441812,0.852054795
313,2.98862354,0.854794521
314,21.5432384,0.857534247
315,-5.765886257,0.860273973
316,-1.17178242,0.863013699
317,3.77741005,0.865753425
318,-2.02002229,0.868493151
319,-18.97531615,0.871232877
320,1.935458838,0.873972603
321,-16.8064665,0.876712329
322,-9.729489986,0.879452055
323,-18.60706638,0.882191781
324,-32.71071864,0.884931507
325,-22.00869705,0.887671233
326,-22.73711995,0.890410959
327,-24.27029185,0.893150685
328,-19.54947767,0.895890411
329,-32.73529467,0.898630137
330,-30.74110995,0.901369863
331,-24.36535337,0.904109589
332,-16.92179287,0.906849315
333,-15.79810525,0.909589041
334,-4.988550428,0.912328767
335,-21.74405151,0.915068493
336,-8.918457082,0.917808219
337,1.573442563,0.920547945
338,-25.02628397,0.923287671
339,-22.1924172,0.926027397
340,3.249081966,0.928767123
341,8.165558083,0.931506849
342,10.9215925,0.934246575
343,-15.12656088,0.936986301
344,-42.09293076,0.939726027
345,-36.80725618,0.942465753
346,-29.7281853,0.945205479
347,-35.96946736,0.947945205
348,-39.07271136,0.950684932
349,-14.18017841,0.953424658
350,-30.08545117,0.956164384
351,-8.532832948,0.95890411
352,-8.378381863,0.961643836
353,-12.7349748,0.964383562
354,-14.73715911,0.967123288
355,-23.56014791,0.969863014
356,-32.37865645,0.97260274
357,-27.25833954,0.975342466
358,-9.597151594,0.978082192
359,-15.22694063,0.980821918
360,-8.641379361,0.983561644
361,-9.687753251,0.98630137
362,-11.07463934,0.989041096
363,-9.39085181,0.991780822
364,-8.92723828,0.994520548
365,1.124481359,0.997260274
366,-1.263417214,1
